Timestamp,Metric,Mean,StdDev
2024-04-23T12:01:17-04:00,raft.raft.fsm.apply,0.352644,0.162118
2024-04-23T12:01:27-04:00,raft.raft.fsm.apply,0.364972,0.154165
2024-04-23T12:01:27-04:00,raft.raft.fsm.apply,0.962095,0.574119
2024-04-23T12:01:37-04:00,raft.raft.fsm.apply,0.364972,0.154165
2024-04-23T12:01:37-04:00,raft.raft.fsm.apply,1.124454,0.693044
2024-04-23T12:01:37-04:00,raft.raft.fsm.apply,1.992232,0.917033
2024-04-23T12:01:47-04:00,raft.raft.fsm.apply,0.364972,0.154165
2024-04-23T12:01:47-04:00,raft.raft.fsm.apply,1.124454,0.693044
2024-04-23T12:01:47-04:00,raft.raft.fsm.apply,2.109215,0.997039
2024-04-23T12:01:47-04:00,raft.raft.fsm.apply,2.788771,1.417606
2024-04-23T12:01:57-04:00,raft.raft.fsm.apply,0.364972,0.154165
2024-04-23T12:01:57-04:00,raft.raft.fsm.apply,1.124454,0.693044
2024-04-23T12:01:57-04:00,raft.raft.fsm.apply,2.109215,0.997039
2024-04-23T12:01:57-04:00,raft.raft.fsm.apply,2.788771,1.417606
2024-04-23T12:02:07-04:00,raft.raft.fsm.apply,0.364972,0.154165
2024-04-23T12:02:07-04:00,raft.raft.fsm.apply,1.124454,0.693044
2024-04-23T12:02:07-04:00,raft.raft.fsm.apply,2.109215,0.997039
2024-04-23T12:02:07-04:00,raft.raft.fsm.apply,2.788771,1.417606
2024-04-23T12:02:17-04:00,raft.raft.fsm.apply,1.124454,0.693044
2024-04-23T12:02:17-04:00,raft.raft.fsm.apply,2.109215,0.997039
2024-04-23T12:02:17-04:00,raft.raft.fsm.apply,2.788771,1.417606
